Date,Amount,Currency,Description,Merchant
2024-04-02,-12.50,EUR,Coffee with friends,Cafe Roma
2024-04-03,-24.90,EUR,Grocery shopping,Supermarket XXL
2024-04-05,-7.20,EUR,Morning ride,Uber BV
2024-04-06,-55.00,EUR,Dinner date,La Trattoria Restaurant
2024-04-10,1500.00,EUR,Salary payment,Employer Ltd
2024-04-12,-42.00,EUR,New gym membership,City Gym
2024-04-14,-18.00,EUR,Airport transfer,Bolt Services
2024-04-16,-89.00,EUR,Weekend stay,Airbnb Dublin
2024-04-18,-25.00,EUR,Pharmacy purchase,Local Pharmacy
2024-04-20,-35.00,EUR,Monthly subscription,Netflix
2024-04-22,-65.00,EUR,Home essentials,Amazon EU
2024-04-25,-15.00,EUR,Lunch meeting,Central Cafe
